key,value
Recording Name,D:/Work/ETH/projects/ComputationalMixedReality/development/CompAug/Assets/.././log/log_20200220-1334//gaze/
Start Date,20.02.2020
Start Time,13:34:09
Start Time (System),1582202049.2068532
Start Time (Synced),527727.413179
Recording UUID,658ac08a-007c-459d-9b50-532b958b8410
Duration Time,00:00:12
World Camera Frames,345
World Camera Resolution,640x480
Capture Software Version,1.21.5
Data Format Version,1.16
System Info,User: dalind\, Platform: Windows\, Machine: DESKTOP-CKE801U\, Release: 10\, Version: 10.0.18362
