id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,530371.362189,95.71899997536093,52,55,0.5833358745513602,0.5700424065175668,1.469483025380834,0.942975149504939,3d gaze,164.43600031617405,-103.65062515604141,518.9850010759484,530371.362189 530371.394182 530371.426032 530371.457908
1,530371.550026,188.07499995455146,58,63,0.5744279929152661,0.5661807394447519,1.4313445526964463,0.7113884742789891,3d gaze,148.2381853494461,-98.85286781880272,523.8575434996367,530371.550026 530371.581881 530371.613904 530371.706124 530371.738101
2,530371.801879,188.1309999153018,65,71,0.6252686862421127,0.5357968544672007,0.5308994841108642,0.9643222514806286,3d gaze,244.99485647481802,-52.50655336343931,514.407433573561,530371.801879 530371.862038 530371.8942249999 530371.925959 530371.9578709999 530371.99001
3,530372.021914,216.0579999908805,72,78,0.6257250894165203,0.531192303108218,0.535139160227619,0.9012772448363076,3d gaze,246.0822728907446,-45.7909400700849,514.8175690028132,530372.021914 530372.050071 530372.081983 530372.1139229999 530372.145892 530372.1779809999 530372.209892 530372.237972
4,530372.2699279999,187.97100009396672,79,85,0.6258823430143217,0.5294939189687771,0.23281603107664195,0.8769516401985725,3d gaze,246.45913100089925,-43.308488119921826,514.959824489308,530372.2699279999 530372.301898 530372.333973 530372.366053 530372.398009 530372.4259329999 530372.457899
5,530372.490164,187.84500006586313,86,91,0.6254637257296448,0.5283383365264093,0.28964002509319037,0.9609683947203408,3d gaze,245.85439371939782,-41.64821778858276,515.410173702642,530372.490164 530372.521888 530372.554077 530372.5859129999 530372.613895 530372.645955 530372.678009
6,530372.710249,219.7330000344664,93,99,0.6256960064940658,0.5272216620062449,0.30291550915051096,0.9364500945014802,3d gaze,246.30602497740736,-40.00663324559651,515.4027708549789,530372.710249 530372.741955 530372.77409 530372.801928 530372.833891 530372.865977 530372.898182 530372.929982
7,530372.9619079999,188.02700005471706,100,106,0.6263335030396636,0.5249653890686635,0.573537621422395,0.8994230927501414,3d gaze,247.53679919639163,-36.68651077068414,515.3649732041669,530372.9619079999 530372.993997 530373.025072 530373.054118 530373.086093 530373.118045 530373.149935
8,530373.3759595,92.03450009226799,113,115,0.4819000473475654,0.5214894064679502,0.6882923473823671,0.7591857049374239,3d gaze,25.299800959853446,22.54225255909107,-367.7561079345576,530373.3759595 530373.3899965 530373.4224350001 530373.4383670001 530373.454349 530373.4679940001
9,530373.547922,218.04149996023625,118,124,0.4548016671414668,0.49182496440605705,0.9055423388029165,0.7134813547595932,3d gaze,52.88866699374087,-7.172334449972671,-307.78973816172936,530373.547922 530373.579917 530373.593999 530373.6114225 530373.6273975 530373.641969 530373.655974 530373.6719945 530373.6880494999 530373.7039955 530373.719999 530373.7360045 530373.7519980001 530373.7659635
10,530373.7855575,90.57500003837049,125,128,0.45485969978925983,0.49419331660413846,0.4792951927214702,0.7364403266583641,3d gaze,52.81846411653983,-5.092968925918934,-307.78549519969846,530373.7855575 530373.8016464999 530373.8139895 530373.8299175 530373.8439785 530373.8601605 530373.8761325
11,530374.278033,92.01100002974272,140,142,0.6280072696866921,0.5195249000023463,1.21839090526868,0.8987469806560882,3d gaze,343.9892827136262,-39.349461407565045,706.8627048965412,530374.278033 530374.309994 530374.338053 530374.370044
12,530374.557912,95.96299997065216,148,151,0.6331186280425734,0.5252417000786571,0.29827659659090383,0.852177776807204,3d gaze,488.0847148900591,-69.41252800732335,964.3855521631202,530374.557912 530374.59312 530374.621902 530374.653875
13,530374.745992,96.11499996390194,153,157,0.633190961985401,0.5243752572810175,0.250522570565005,0.8463913001386238,3d gaze,470.3564766396525,-64.55922902840828,928.8504114300196,530374.745992 530374.784457 530374.815235 530374.842107
14,530374.96613,219.90999998524785,161,167,0.6419381422438681,0.5357282281108278,0.559590474078678,0.862273698073444,3d gaze,469.1010476766359,-88.56107695546753,869.283539976486,530374.96613 530374.9983559999 530375.029994 530375.062251 530375.094253 530375.1219 530375.154008 530375.18604
15,530375.346953,214.94800003711134,172,178,0.6431087207018072,0.533951538835899,0.32427470305382583,0.9272730996925886,3d gaze,474.5246957013152,-84.43280835156085,872.1406309907526,530375.346953 530375.3740289999 530375.405892 530375.4384549999 530375.469899 530375.497921 530375.530021 530375.561901
16,530375.982197,95.71800008416176,191,194,0.491755796186555,0.5040009812682165,0.14025921702686056,0.9921109757329736,3d gaze,-18.231063819649187,-6.635754169406361,581.6413339672549,530375.982197 530376.01489 530376.046019 530376.077915
