pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
530369.617922,0,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.637886,1,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.649863,1,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.6700009999,2,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.6822159999,2,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.702029,3,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.714057,3,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.729959,3,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.746004,4,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.762087,4,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.777921,5,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.805934,6,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.833096,7,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.838153,7,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.857943,7,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.8699769999,8,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.8898829999,8,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.9020369999,9,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.918052,9,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.9339589999,10,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.949974,10,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530369.965955,11,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530369.98202,11,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.014049,12,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.043764,13,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.04634,13,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.058041,13,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.0786829999,13,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.089893,13,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.105922,14,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.122801,14,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.137922,15,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.153888,15,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.169907,16,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.181965,16,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.201967,17,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.213916,17,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.2340309999,18,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.246033,19,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.265888,19,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.277935,20,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.293917,20,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.310141,21,1,0.3777302549649325,0.6517770057576705,0.6414986166875765,5.403027744492457,3d c++,125.14118510547274,68.8322655959853,4.696919092419653,5.403027744492457,-56.68649878757438,4.252309444605239,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,22.939300275558153,-21.387161398072013,488.0110019094094,0.2329560662169102,-0.3758300885853496,-0.8969298833948341,2.1261547223026196,1.1855039569725332,-1.3166848780122582,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.325953,21,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.342144,22,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.357919,22,0,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.3741039999,22,1,0.3431698552425752,0.6406446939637966,0.6539114549112142,6.136007654266256,3d c++,123.00378124104896,66.44900065704687,4.963711709301487,6.136007654266256,-77.39386705411982,4.834084779819945,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,21.285924337395066,-23.29811150412895,488.70105202620465,0.09517473803665268,-0.5350759307567609,-0.8394257069952293,2.4170423899099727,1.0061987024839059,-1.4578976817066966,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.390138,23,0,0.9898356726048217,0.6623172713539451,0.26183179881510255,30.686364699463525,3d c++,127.16491609995747,141.7282946275003,30.563238191445347,30.686364699463525,-32.919409614848405,3.640119017071718,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.7099514606525434,5.442363549281473,73.8335796131525,-0.030247947127484392,-0.07232520969774552,-0.9969223268323114,1.820059508535859,1.498407913450748,-1.6011283490489059,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.40186,23,1,0.22583547219086908,0.6278092231537323,0.6636614310360158,4.899995134175614,3d c++,120.53937084551661,64.57700524108496,3.4982754345027263,4.899995134175614,87.01630923318002,3.867710910688876,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,19.38635110425203,-24.8287197673276,489.8187393443499,-0.0631230313919339,-0.6626266193566486,-0.7462850971497903,1.933855455344438,0.8464759134456732,-1.6551784766812232,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.42196,24,0,0.3695999775940384,0.6965019530347932,0.27061470515654396,19.021901541572607,3d c++,133.7283749826803,140.04197660994356,18.871986552382694,19.021901541572607,-24.982794033370254,2.257305640591127,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,4.494621743304138,5.244538640896764,73.85150632823134,0.03514124309348181,-0.08881061872980464,-0.9954284339090752,1.1286528202955635,1.4818685453579612,-1.535508350036958,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.433864,24,1,0.0,0.68016664187111,0.6848705212278857,30.19062804891766,3d c++,130.59199523925312,60.50485992424594,23.40550040978388,30.19062804891766,61.19913482666274,2.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,2.2913877608210207,-2.3677206868983447,41.1966059294977,-0.3446729035439418,-0.5075271647182727,-0.7896940968727193,1.0,1.038483901478621,-1.9823367273038335,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.453965,25,0,0.3758634431606662,0.6994423455428591,0.3055695049630467,18.757630805112083,3d c++,134.29293034422895,133.33065504709504,18.504501670979316,18.757630805112083,-43.81066187765185,2.22909445648836,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,4.568142284591499,4.450110821840691,73.95204605941869,0.041267954867428534,-0.15501293698447727,-0.9870501229767951,1.11454722824418,1.4151557781897741,-1.5290112813359917,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.4659,25,1,0.3964388726177772,0.6293498806171526,0.6279762666087461,4.890005962792764,3d c++,120.8351770784933,71.42855681112074,4.744520725152953,4.890005962792764,85.19675353844943,3.837823777376109,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,19.508795958694524,-19.303506871302424,487.0391798302373,-0.05291929352172589,-0.20219221135454998,-0.9779150566591756,1.9189118886880545,1.3672004766318326,-1.6248580042299117,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.486061,26,0,0.3773864405136863,0.679056530447061,0.34143521700650925,18.73390403257669,3d c++,130.37885384583572,126.44443833475023,18.377423829700984,18.73390403257669,-68.921306055414,2.2336880574368503,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,4.1087608007283825,3.6348403529546935,74.09874972476022,0.0029861645455021924,-0.22295214272497704,-0.9748248175316673,1.1168440287184251,1.345954531090833,-1.5677330531159523,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.497904,26,1,0.0,0.5,0.5,0.0,3d c++,96.0,96.0,0.0,0.0,90.0,0.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.513946,26,0,0.30368068324514136,0.663476505112634,0.38911688005134637,19.26396299560977,3d c++,127.38748898162572,117.2895590301415,18.46604549507395,19.26396299560977,-84.29004902471667,2.3085117650777036,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.7662427425790295,2.5495411185052177,74.40529587062062,-0.0255570069669439,-0.31339374559576694,-0.9492793053766353,1.1542558825388518,1.252031610786121,-1.597712361662107,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.529918,27,1,0.9916537208842894,0.6236005912904053,0.6507572621525903,26.964623523631506,3d c++,119.73131352775782,67.05460566670266,22.529793034822408,26.964623523631506,80.23642724366667,21.22227131818227,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,18.671466735540562,-22.90243495534403,488.5014441407665,-0.12269672878455588,-0.5021028850246838,-0.856059697448407,10.611135659091135,1.0447676418654686,-1.713154109287807,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.546096,27,0,0.4070537596671141,0.6523390029060866,0.4140921122213962,19.332471227707526,3d c++,125.24908855796862,112.49431445349194,18.194170550535695,19.332471227707526,-89.7424792863944,2.3241151778060667,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.5193443684040187,1.9790033619769316,74.61927262623732,-0.046131871481528114,-0.3609385586397906,-0.9314479090752431,1.1620575889030333,1.201522228608427,-1.6202829454723366,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.561919,28,1,0.9390041070715196,0.6121926309805242,0.6408501312425539,27.088605422450417,3d c++,117.54098514826066,68.95677480142965,23.77913265481243,27.088605422450417,59.628674720909515,21.297127409645388,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,16.901893731990782,-21.36615842694214,488.12807574547725,-0.2701611457470376,-0.3740798409911928,-0.8871737303891791,10.648563704822694,1.1873919469904994,-1.8663937041272793,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.577935,28,0,0.3882744272409338,0.6448206698545537,0.427618435741559,18.68562219849862,3d c++,123.8055686120743,109.89726033762066,17.373932953214286,18.68562219849862,87.50588427715299,2.2507496434499616,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.351484760210538,1.6695157528091684,74.75386899533093,-0.06012017216431819,-0.3867291927371044,-0.9202315449841092,1.1253748217249808,1.1737141527657493,-1.636035185014565,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.59035,29,1,0.10041077860747959,0.6040785630557116,0.6558576623476964,7.309378264093622,3d c++,115.98308410669662,66.0753288292423,5.289873386805782,7.309378264093622,60.35293578015144,5.76755717677799,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,15.784390312802437,-23.651074534952294,489.8797838652781,-0.36328643067940025,-0.5644895166587064,-0.7411980537391077,2.883778588388995,0.9709816417613999,-2.0265200994993005,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.610557,29,0,0.39693791443107673,0.6412522913847188,0.4475376417709588,19.29336462015682,3d c++,123.12043994586601,106.07277277997592,17.574623873246395,19.29336462015682,86.53889339140088,2.3305597877338586,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.2778575395723406,1.2108786660607995,74.96317565497388,-0.06625577388416798,-0.4249489499661351,-0.9027893233471966,1.1652798938669293,1.131890837266768,-1.6440550613079792,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.622144,30,1,0.2937208585074575,0.6037694022730457,0.6651925250922748,7.991826906871369,3d c++,115.92372523642476,64.28303518228326,4.8149864797473505,7.991826906871369,64.370212486326,6.323825698628409,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,15.781071756806785,-25.138380033287355,491.2429406564448,-0.3635629770123713,-0.6884316415199618,-0.6276016544752194,3.1619128493142044,0.81147185399058,-2.0958482187773986,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.642057,30,0,0.6494538591442566,0.6416655827034693,0.46255241468475206,19.123222508632637,3d c++,123.19979187906611,103.1899363805276,17.117860998102614,19.123222508632637,86.83904806219044,2.315155487724638,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.294899006964532,0.8640447073409785,75.13206382883583,-0.06483565160148536,-0.4538517798594535,-0.8887153088587013,1.157577743862319,1.0997131115434493,-1.6436216637078553,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.653957,31,1,0.2335614691050271,0.6021937749785274,0.6730440292783891,7.291516023011442,3d c++,115.62120479587728,62.775546378549286,3.211191355668427,7.291516023011442,65.99610302686969,5.791688528908266,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,15.6019674857732,-26.43024615986033,493.1075192427653,-0.3784883329318358,-0.796087152067708,-0.47222010561517364,2.895844264454133,0.6499944586810893,-2.246456286230784,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.673877,31,0,0.5832582929782119,0.6463237208921634,0.4872271423282777,18.109077386413844,3d c++,124.09415441129536,98.45238867297068,15.683530004253024,18.109077386413844,88.27083478159861,2.201044611506178,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.4172991485162383,0.2914154502532602,75.43597238253733,-0.05463563980550981,-0.5015708846167631,-0.8633895960502422,1.100522305753089,1.0453826980809569,-1.6339924632281633,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.686022,31,1,0.0,0.512946804364256,0.6236480077110587,22.495212563689336,3d c++,98.48578643793715,72.25958251947674,19.44572830957266,22.495212563689336,-82.65390014647457,2.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,0.21995799375272362,-2.102460892597513,55.125474942735174,-0.06777437150008458,0.5323207195048096,-0.8438253884268061,1.0,2.1321359452120365,-1.6509422869058237,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.702193,32,0,0.9900704444952859,0.6524301747375828,0.5159866417677625,19.50391923129766,3d c++,125.2665935496159,92.9305647805896,16.114455357401454,19.50391923129766,89.75544605505297,2.383327843599475,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.5795091268703008,-0.3841378194578713,75.84971355541568,-0.04111814160933793,-0.5578669904260242,-0.8289111649770466,1.1916639217997376,0.9789828601801635,-1.6203607037481296,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
530370.717903,32,1,0.0,0.4882199764252683,0.6116603612897178,22.17376518172333,3d c++,93.73823547365151,74.56121063237417,18.521486281703222,22.17376518172333,-71.38127136230983,2.0,1.0,3,20.143827480955235,-16.877200335047824,498.7741605101474,12.0,-0.2065269478519216,-1.9257689214114961,55.930767363743925,-0.17199849010791782,0.5502268209752598,-0.8171089063766566,1.0,2.1534321772906084,-1.77826391499864,121.03973546949243,75.02083741261339,29.83314128538796,29.83314128538796,90.0
530370.734496,33,0,0.5293169331991495,0.6524973025912822,0.5477480751825585,18.230999554089852,3d c++,125.2794820975262,86.83236956494876,14.111088148147088,18.230999554089852,89.73453221631065,2.243905579913078,1.0,2,4.072926826182356,6.310266065654419,85.79664753514024,12.0,3.6071471228283536,-1.1375905468207836,76.39917547357214,-0.03881497527950021,-0.6206547177062668,-0.7831226717973412,1.121952789956539,0.9012188896215488,-1.6203201610789268,125.4325559888432,141.60044096249015,173.43334999080832,173.43334999080832,90.0
