time;cam_p_x;cam_p_y;cam_p_z;cam_r_x;cam_r_y;cam_r_z;cam_r_w;cont_L_p_x;cont_L_p_y;cont_L_p_z;cont_L_r_x;cont_L_r_y;cont_L_r_z;cont_L_r_w;cont_R_p_x;cont_R_p_y;cont_R_p_z;cont_R_r_x;cont_R_r_y;cont_R_r_z;cont_R_r_w;
2020-02-20 02:18:11.344;-1.81000;0.19794;0.40616;-0.12832;0.69764;0.16108;0.68621;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.372;-1.81030;0.19803;0.40612;-0.12820;0.69740;0.16108;0.68647;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.381;-1.81075;0.19788;0.40618;-0.12808;0.69696;0.16077;0.68702;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.402;-1.81173;0.19765;0.40634;-0.12732;0.69682;0.15905;0.68770;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.412;-1.81194;0.19756;0.40642;-0.12719;0.69671;0.15850;0.68796;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.426;-1.81221;0.19738;0.40646;-0.12755;0.69640;0.15851;0.68821;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.437;-1.81258;0.19718;0.40661;-0.12772;0.69585;0.15863;0.68871;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.472;-1.81357;0.19732;0.40673;-0.12740;0.69448;0.15997;0.68984;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.491;-1.81388;0.19740;0.40692;-0.12671;0.69414;0.15959;0.69039;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 02:18:11.514;-1.81397;0.19731;0.40725;-0.12630;0.69369;0.15857;0.69116;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
