time;t_idx;a_e_0_Color;a_t_0_Color;a_e_1_Move;a_t_1_Move;a_e_2_Opacity;a_t_2_Opacity;a_e_3_Rotation;a_t_3_Rotation;a_e_4_Shape;a_t_4_Shape;a_e_5_Size;a_t_5_Size;a_e_6_Outline;a_t_6_Outline;
2020-02-20 02:18:11.344;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.372;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.381;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.402;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.412;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.426;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.437;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.472;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.491;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.514;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.538;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.559;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.584;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.602;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.626;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.648;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.673;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.690;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.712;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.734;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.757;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.784;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.802;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.825;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.846;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.874;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.890;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
2020-02-20 02:18:11.912;0;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;1;0.00000;0;0.00000;
