time;cam_p_x;cam_p_y;cam_p_z;cam_r_x;cam_r_y;cam_r_z;cam_r_w;cont_L_p_x;cont_L_p_y;cont_L_p_z;cont_L_r_x;cont_L_r_y;cont_L_r_z;cont_L_r_w;cont_R_p_x;cont_R_p_y;cont_R_p_z;cont_R_r_x;cont_R_r_y;cont_R_r_z;cont_R_r_w;
2020-02-20 01:33:39.422;-1.91638;0.40503;0.35993;-0.12831;0.71976;0.14684;0.66628;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.448;-1.91636;0.40500;0.35988;-0.12815;0.71976;0.14673;0.66633;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.457;-1.91638;0.40497;0.35986;-0.12802;0.71983;0.14644;0.66635;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.468;-1.91636;0.40492;0.35983;-0.12784;0.71993;0.14595;0.66637;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.481;-1.91632;0.40493;0.35989;-0.12790;0.71994;0.14613;0.66632;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.491;-1.91633;0.40489;0.35989;-0.12791;0.71995;0.14618;0.66629;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.500;-1.91629;0.40490;0.35990;-0.12785;0.71989;0.14639;0.66632;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.513;-1.91633;0.40493;0.35991;-0.12771;0.71979;0.14642;0.66645;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.529;-1.91637;0.40498;0.35990;-0.12755;0.71970;0.14640;0.66658;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.538;-1.91635;0.40495;0.35995;-0.12747;0.71961;0.14642;0.66669;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.546;-1.91634;0.40495;0.35996;-0.12735;0.71954;0.14638;0.66680;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.556;-1.91633;0.40495;0.35997;-0.12742;0.71945;0.14629;0.66690;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.567;-1.91635;0.40496;0.35994;-0.12742;0.71939;0.14618;0.66699;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.578;-1.91632;0.40491;0.35996;-0.12740;0.71934;0.14601;0.66708;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.590;-1.91632;0.40488;0.35993;-0.12723;0.71938;0.14590;0.66710;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.601;-1.91631;0.40487;0.35987;-0.12698;0.71940;0.14568;0.66717;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.611;-1.91626;0.40482;0.35980;-0.12677;0.71943;0.14548;0.66722;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.629;-1.91629;0.40480;0.35974;-0.12648;0.71956;0.14518;0.66720;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.638;-1.91629;0.40472;0.35974;-0.12630;0.71959;0.14479;0.66729;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.646;-1.91624;0.40464;0.35970;-0.12604;0.71971;0.14455;0.66726;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.656;-1.91624;0.40459;0.35966;-0.12559;0.71982;0.14405;0.66734;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:33:39.667;-1.91624;0.40451;0.35958;-0.12511;0.71995;0.14334;0.66744;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
