time;cam_p_x;cam_p_y;cam_p_z;cam_r_x;cam_r_y;cam_r_z;cam_r_w;cont_L_p_x;cont_L_p_y;cont_L_p_z;cont_L_r_x;cont_L_r_y;cont_L_r_z;cont_L_r_w;cont_R_p_x;cont_R_p_y;cont_R_p_z;cont_R_r_x;cont_R_r_y;cont_R_r_z;cont_R_r_w;
2020-02-20 01:43:59.141;-1.86216;0.14327;0.41359;-0.18590;0.71002;0.18346;0.65396;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.162;-1.86231;0.14326;0.41358;-0.18585;0.70987;0.18341;0.65415;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.176;-1.86284;0.14314;0.41356;-0.18596;0.70997;0.18350;0.65398;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.187;-1.86335;0.14352;0.41335;-0.18611;0.70994;0.18313;0.65408;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.207;-1.86357;0.14329;0.41352;-0.18630;0.70986;0.18298;0.65415;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.217;-1.86371;0.14327;0.41341;-0.18658;0.70974;0.18299;0.65419;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.228;-1.86384;0.14325;0.41334;-0.18684;0.70974;0.18320;0.65406;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.237;-1.86411;0.14353;0.41327;-0.18702;0.70961;0.18337;0.65411;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.256;-1.86427;0.14359;0.41312;-0.18721;0.70958;0.18370;0.65399;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.267;-1.86454;0.14381;0.41292;-0.18710;0.70943;0.18373;0.65418;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.283;-1.86492;0.14384;0.41269;-0.18734;0.70939;0.18367;0.65417;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.294;-1.86489;0.14373;0.41276;-0.18763;0.70951;0.18354;0.65399;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.305;-1.86500;0.14366;0.41273;-0.18789;0.70973;0.18311;0.65380;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.316;-1.86532;0.14379;0.41251;-0.18794;0.70980;0.18266;0.65383;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.328;-1.86550;0.14387;0.41232;-0.18818;0.70996;0.18235;0.65368;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.338;-1.86561;0.14380;0.41213;-0.18834;0.71004;0.18211;0.65361;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.355;-1.86565;0.14355;0.41222;-0.18844;0.71023;0.18216;0.65336;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.364;-1.86593;0.14378;0.41216;-0.18842;0.71021;0.18217;0.65339;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.382;-1.86593;0.14367;0.41219;-0.18840;0.71076;0.18282;0.65261;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.392;-1.86602;0.14373;0.41207;-0.18827;0.71082;0.18300;0.65254;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.404;-1.86628;0.14382;0.41183;-0.18815;0.71101;0.18318;0.65231;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.415;-1.86645;0.14386;0.41162;-0.18813;0.71102;0.18308;0.65233;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.426;-1.86653;0.14371;0.41172;-0.18834;0.71117;0.18298;0.65214;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
2020-02-20 01:43:59.437;-1.86664;0.14383;0.41164;-0.18850;0.71098;0.18291;0.65232;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;
