key,value
Player Software Version,1.21.5
Data Format Version,1.16
Export Date,20.02.2020
Export Time,13:35:12
Frame Index Range:,0 - 344
Relative Time Range,00:00.000 - 00:11.525
Absolute Time Range,527727.4277827791 - 527738.9537379793
