id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,527728.8519199999,0.22002600005362183,527729.071946,42,45,49,0.2886974040238955,0.5884488446150188 0.5214022893702495 0.26013851110832126 0.16043047636008528 0.019220213826504528 -0.014606576479780664 -0.2233153077004757 -0.22620682208307202 -0.06649989491869548 -0.2286911247221862 -0.3556995748683216 -0.46889199789931224 -0.3759865353889605 -0.5322254869935522,527728.8519199999 527728.864065 527728.883869 527728.896085 527728.916059 527728.928572 527728.947878 527728.960147 527728.98091 527728.991976 527729.011924 527729.020014 527729.044062 527729.051798
2,527729.899992,0.33184400002937764,527730.231836,74,78,83,0.2899966827012248,0.7395436772457081 0.6327930370872749 0.6782521780360173 0.5707381080841313 0.4415277315498367 0.2519409101492809 0.08200592454859523 0.04581599399297271 0.0230864235186015 -0.16917642425260282 -0.18028020893992908 -0.22652632996100752 -0.20761968407701376 -0.26798743687263477 -0.274574238138125 0.002130807671131686 -0.15007427044343863 -0.10554280346256499 -0.2682193324463152 -0.3113112399595732 -0.4607835762889666,527729.899992 527729.919965 527729.931785 527729.951896 527729.9600729999 527729.979846 527729.991804 527730.012185 527730.023901 527730.043863 527730.055865 527730.07579 527730.088045 527730.107797 527730.119795 527730.139872 527730.152076 527730.1718199999 527730.180109 527730.1998439999 527730.2118619999
3,527732.239811,6.300021999981254,527738.5398329999,144,238,333,0.12258009884330737,0.5112245162998628 0.41899781890960736 0.4168771334257038 0.3234334548082151 0.19754678268628728 0.08092992081270195 -0.048541933500624496 -0.09724065287434956 -0.12153702058850473 -0.23456946386822297 -0.1685766476818881 -0.288932167628272 -0.27964260805861346 -0.2233815632007884 -0.19229489872367286 -0.08609980579263596 -0.05232976271885084 0.07018823839819296 0.07392844439178964 -0.10931285166135796 -0.12843506103496993 -0.12586519254698564 -0.17136094147615552 -0.1649287873284599 -0.13628868274121672 0.014223753968259688 0.05004477813512292 0.050816065552276864 0.0628639164060432 0.13938044133393 0.15382351162737687 0.1552818549752072 0.0351373441844872 0.14417632426703628 0.13328293256001605 0.06576375715173566 0.0257760291123772 0.1145317895067617 0.30348201834995914 0.15083529061580667 0.15712207918199078 0.154971850073976 0.05838602854028341 -0.04663655981116739 -0.23683447308389188 -0.2576778846045746 -0.28006379494694716 -0.30845626855755803 -0.2031984795037289 -0.21501665115587032 -0.030268008401658858 0.14194339318865856 0.062463714406025606 0.05400458686994792 0.1438938072691269 0.2211795071761105 0.15060646997373725 0.04384121134603316 0.22966679669189774 0.23741285021205907 0.14762411796314107 0.061053917785646 0.02989452205179894 -0.010360152785424383 -0.09474768163020914 -0.05878934046352751 -0.062299058128547996 -0.02534853645610476 -0.0165260863661991 0.024460424457572117 0.010111868977594746 0.013403741473699583 0.024507256231092563 0.0503453489870109 0.054803284117142255 -0.012332418345644615 -0.0051617647458418875 -0.1207674514106084 -0.1293040848189419 -0.17994692144889293 -0.16019813748062828 -0.029539512415167616 -0.03439181908556616 0.059520914068473235 0.06416121570711607 0.09284410225291839 0.04854283312071524 -0.008728800062356979 0.008957876717349591 0.09326854296703875 0.08583295945999969 0.009574542521707743 0.036050032466301854 -0.04893752319471124 -0.07422079094128127 -0.2436421910245993 -0.23416645846104697 -0.16286485540613957 -0.15778330517656589 -0.07947175726045609 -0.061636239705848785 0.02250288666893271 0.0050710994477347416 0.005539059332311322 0.0010794888900166463 -0.0008621401534796186 -0.011952612292293925 -0.011538848692597106 -0.010721036295291439 -0.010176252956207821 -0.011071658580801025 -0.010153799494759752 -0.008432976427420935 -0.00847448862872668 0.014571148713202779 0.07187440048125662 0.0705093486885349 0.07182371708651121 0.07733603292206705 0.13042389188755657 0.1078681076958298 0.052864827469712085 0.03567425117188162 0.08882808590791617 0.08221150081129279 -0.022299188184157426 -0.0032934433920725694 -0.05480584059521562 -0.037937881016323186 -0.14690956236561406 -0.13651618210681488 -0.08528275000968653 -0.09621232377373351 -0.021737392693510143 -0.022211440107161844 0.03131644342930691 0.010641344480103608 0.0463097549083562 0.03730286456187971 -0.027841985964709524 -0.026837659274440352 -0.008115950665826066 0.01981167434285917 -0.013817986223140215 -0.008689344013436136 0.07445793047640797 0.07441037387374257 0.043028942895000366 0.008563245525307028 -0.029871478411798654 -0.005361965430578435 0.04687346052563292 -0.06057222033457018 0.07493427005498116 0.01074446231573547 0.047924629100057944 -0.047157835275193995 -0.28334086017119636 -0.13792733525853335 -0.3855546624248014 -0.25996242737849273 -0.1601508259467794 0.033124026146387375 0.24523229474319802 0.2872505869404823 0.45726024269431814 0.40359023417518813 0.32266738642684645 0.16890158513479261 0.026177531757424318 -0.018578206447472646 -0.10611117035262337 0.051239006837886195 0.00929219660854126 0.09462179350001854 0.25629342808411526 0.21429177723634144 0.34860273110478346 0.05130553473510842 0.0638179522940216 -0.13362318991203498 -0.29328569868838167 -0.3196989931747496 -0.4499300841221557 -0.2801677621146399 -0.35657488595104003 -0.20225267062297286 0.016304008264190116 -0.07095637294342859 -0.0793455278843461 -0.11920536242750951 0.05259671296994402 0.06824458097307552 -0.20129428548539244 -0.050697451331728455 0.09528454524483293 0.2149018630112484 0.13030522511464063 0.09781167154817899 0.240221803575142 0.18516027185335723 0.019892662614072906 -0.16362882582810165 -0.18274893923696645 -0.16078971934316696 -0.1906877981168059 -0.13755550517637394 -0.0336372914245269 0.035613214182376944 0.04098197616137706 0.061243934581702436 0.056555892519197924 0.0006587060391056151 -0.04613426333198407 -0.0007666039311937435 0.02817796977627141 -0.05645199044002784 -0.056404607378137864 -0.035061747143440174 -0.08903587180483605 -0.13917246417403606 -0.2206595461944995 -0.15728602779876558 -0.1925421068257236 -0.16400643388905117 -0.006931210032854782 0.031097127555218526 0.15356238424735796 0.1481820641309163 0.19493017186329403 0.15341476571957005 0.0391126480743937 0.033491390861753595 -0.016920636232768318 -0.03508845223211174 -0.034718893582272065 -0.005060150549415557 -0.05671006843196738 -0.06720141819197266 -0.08264573328606066 -0.05743996271211069 0.013351881840275307 -0.004408502846922389 0.1269440967726504 0.11275899991346877 0.12097562954705675 0.07524686803091435 0.004966287842948228 0.016146889007030457 -0.028229828225359133 -0.002180042267489244 0.028322999166216715 0.09723324450174445 0.12022792046469155 0.12204674534720882 0.15000760954655745 0.1230199594029441 0.00651907350121362 -0.037060247467703936 -0.15723518845511533 -0.1715484921146259 -0.3285993479007214 -0.3131284112769124 -0.10706026736756391 -0.13280705926343545 0.07056282175504724 0.07803073983345961 0.2826694419306991 0.30449410811910493 0.06715838107363743 0.148170628282871 0.0016411473808064893 0.05437832555799468 -0.12663382114239133 -0.12344181394752801 0.07934181653190352 0.033376561386982466 0.03182482181826533 -0.07247786699786953 0.022259957655250233 -0.03237678609046809 -0.18566075535335294 -0.20935231610799787 -0.1405563016136102 -0.10685373077076508 -0.060367810726762436 -0.049946509881312454 0.060716247063185305 0.07032327002178436 0.055616204377047986 0.08979331547657868 0.04953479172094748 0.09863038713304562 0.050703367072501185 0.11804590263496922 0.11831726231928068 0.12264015490730827 0.1496288310104179 0.15064902168073327 0.216506345891392 0.20677443569193693 0.2450413563848653 0.35148406154521517 0.3436530980782379 0.4204208002121276 0.3853717895085043 0.4093043472248514 0.41169777768060273 0.284000927950357 0.31021148300117113 0.20257563220705938 0.2244125371042464 0.15580952391100866 0.10196880095591121 0.1019688009559111 0.046721960933297606 0.0467219609332976 7.894919286223336e-17 9.210739167260556e-17 2.2105774001425338e-16 1.1579214953127558e-16 4.210623619319112e-17 1.052655904829778e-16 4.210623619319112e-17 8.421247238638224e-17 0.0 4.210623619319112e-17 -6.315935428978668e-17 -1.2631870857957337e-16 -4.210623619319112e-17 0.0 -4.210623619319112e-17 0.0 -4.210623619319112e-17 4.210623619319112e-17 4.210623619319112e-17 -0.04641916089903471 -0.07555926751906253 -0.24265357696670847 -0.258649782326713 -0.3982498509217898 -0.4058381857096094 -0.46998930463781896 -0.4117090913977635 -0.2524601050401319 -0.22460751290108066 -0.12437524971248648 -0.29146485091520236 -0.20708274846681685 -0.3045571653941491 -0.3066116927425122 -0.36852551835833536 -0.33470829760451176 -0.03616911691815667 -0.011535497060518407 0.06574312214154866 0.08858468129249172 0.11473360312290734 0.1212141774334901 -0.1280492840444166 -0.12664842921532538 -0.1421759499680295 -0.07080710000574404 -0.05908370159165995 -0.0004161320373590679 0.23737275887587517 0.23806627546320805 0.2432587620933387 0.06188997570602349 0.10491721827432482 -0.01568592886098669 -0.14528005242658595 -0.14624173977189764 -0.1614238439701665 -0.06451385448974088 -0.1206825209503804 -0.05953464016461973 -0.02941610751129035 -0.028948716469354437 -0.013235572267365703 -0.013153573674608154 0.0046575377536646 0.0049291069133582145 -0.02771409578362333 -0.027326733743843083 -0.042529024768718886 0.006279923283369083 0.03661670816617729 0.1878804035694363 0.30306157747469514 0.4869182384930438 0.6038386441394429 0.6912131484862344 0.7265779200273619 0.5498792236237833 0.28911678848440003 0.08265802094805998 -0.1261584404415346 -0.43416454574753105 -0.5330669182508653,527732.239811 527732.247816 527732.272012 527732.28 527732.299998 527732.311826 527732.33181 527732.34384 527732.363866 527732.37579 527732.395987 527732.407988 527732.427832 527732.439802 527732.460007 527732.46781 527732.487779 527732.502261 527732.519829 527732.53178 527732.552006 527732.563912 527732.58393 527732.5957899999 527732.61613 527732.628016 527732.64798 527732.655977 527732.675808 527732.687816 527732.707796 527732.720253 527732.7398859999 527732.753256 527732.772003 527732.783969 527732.803973 527732.816152 527732.835827 527732.8437869999 527732.867812 527732.875805 527732.895866 527732.907807 527732.927957 527732.939838 527732.959939 527732.971913 527732.99189 527733.003934 527733.02382 527733.032033 527733.05181 527733.063926 527733.083964 527733.095855 527733.116075 527733.128011 527733.147811 527733.160845 527733.179825 527733.19187 527733.211959 527733.219914 527733.2437989999 527733.25183 527733.272016 527733.28535 527733.30406 527733.316 527733.335953 527733.347883 527733.367813 527733.37991 527733.40079 527733.4077859999 527733.431913 527733.439869 527733.459807 527733.471989 527733.49212 527733.504047 527733.523897 527733.535942 527733.555843 527733.568436 527733.587969 527733.595903 527733.61999 527733.627907 527733.647835 527733.659828 527733.679961 527733.69187 527733.711825 527733.723912 527733.744478 527733.755899 527733.775956 527733.784079 527733.807974 527733.816009 527733.835933 527733.847801 527733.868242 527733.880014 527733.899815 527733.912047 527733.931844 527733.943846 527733.96399 527733.971931 527733.9959399999 527734.004002 527734.023959 527734.0359959999 527734.055817 527734.068427 527734.087874 527734.100267 527734.119861 527734.131846 527734.15182 527734.159853 527734.183889 527734.192367 527734.211993 527734.223938 527734.243946 527734.255872 527734.275973 527734.287962 527734.308056 527734.320069 527734.339901 527734.351976 527734.371972 527734.379847 527734.399825 527734.412047 527734.431845 527734.44441 527734.464022 527734.476014 527734.495949 527734.507915 527734.527957 527734.539792 527734.559949 527734.567855 527734.587895 527734.599851 527734.620578 527734.632145 527734.651805 527734.663967 527734.683901 527734.696078 527734.716048 527734.727944 527734.748 527734.755803 527734.775913 527734.788032 527734.807946 527734.819944 527734.839955 527734.852707 527734.871977 527734.883948 527734.90392 527734.916253 527734.9361299999 527734.943957 527734.963979 527734.975982 527734.995932 527735.0079559999 527735.027883 527735.0398179999 527735.05988 527735.071798 527735.092218 527735.103896 527735.123947 527735.131894 527735.152401 527735.1839589999 527735.215838 527735.228567 527735.247813 527735.259836 527735.280179 527735.291969 527735.311949 527735.3198139999 527735.343906 527735.351795 527735.371894 527735.38394 527735.403942 527735.4159349999 527735.435929 527735.447807 527735.467906 527735.479853 527735.4998699999 527735.507996 527735.531805 527735.539785 527735.560239 527735.571994 527735.592233 527735.604027 527735.624015 527735.636338 527735.6559049999 527735.66781 527735.688338 527735.695982 527735.720077 527735.727901 527735.747813 527735.759921 527735.779935 527735.791842 527735.812077 527735.823965 527735.843921 527735.855807 527735.875901 527735.883855 527735.9078619999 527735.915907 527735.936833 527735.94797 527735.967818 527735.979804 527735.999848 527736.01199 527736.031814 527736.0438849999 527736.0639589999 527736.071941 527736.095998 527736.103999 527736.123943 527736.135979 527736.155812 527736.167897 527736.18788 527736.200049 527736.21999 527736.231816 527736.2517959999 527736.259815 527736.283939 527736.294411 527736.311861 527736.32386 527736.343809 527736.3563999999 527736.3759999999 527736.38786 527736.407807 527736.420006 527736.439813 527736.451775 527736.471923 527736.479891 527736.5017039999 527736.511985 527736.531854 527736.54392 527736.564172 527736.5758849999 527736.5960039999 527736.607773 527736.627788 527736.636004 527736.6599419999 527736.667989 527736.687819 527736.699859 527736.720046 527736.7317979999 527736.751806 527736.764059 527736.783928 527736.795871 527736.815998 527736.8279019999 527736.847832 527736.855829 527736.880104 527736.887936 527736.908348 527736.919892 527736.9398159999 527736.9518329999 527736.971954 527736.9838779999 527737.003986 527737.01589 527737.035963 527737.043819 527737.0639 527737.0759309999 527737.09596 527737.107882 527737.127795 527737.139792 527737.160221 527737.171956 527737.191964 527737.199841 527737.219828 527737.231876 527737.252145 527737.264025 527737.283914 527737.295899 527737.315986 527737.328004 527737.348089 527737.359898 527737.380107 527737.388202 527737.4118369999 527737.419889 527737.4398159999 527737.451983 527737.472712 527737.483928 527737.503992 527737.516208 527737.535984 527737.548093 527737.5679189999 527737.57993 527737.5999639999 527737.607928 527737.627844 527737.639858 527737.660005 527737.671998 527737.691949 527737.703918 527737.723884 527737.735933 527737.756063 527737.767924 527737.787985 527737.795926 527737.81982 527737.828152 527737.848105 527737.859829 527737.879938 527737.891991 527737.911923 527737.923889 527737.943927 527737.955856 527737.976029 527737.983887 527738.00801 527738.016066 527738.037351 527738.047887 527738.068411 527738.0798899999 527738.099984 527738.1119199999 527738.131981 527738.14394 527738.1641149999 527738.175965 527738.195956 527738.203877 527738.223935 527738.235927 527738.25582 527738.267964 527738.288984 527738.300363 527738.319904 527738.331951 527738.351836 527738.359991 527738.383816 527738.39202 527738.411969 527738.423959 527738.443929 527738.455813 527738.4759429999 527738.487873 527738.507959 527738.519841
