time;cam_p_x;cam_p_y;cam_p_z;cam_r_x;cam_r_y;cam_r_z;cam_r_w;cont_L_p_x;cont_L_p_y;cont_L_p_z;cont_L_r_x;cont_L_r_y;cont_L_r_z;cont_L_r_w;cont_R_p_x;cont_R_p_y;cont_R_p_z;cont_R_r_x;cont_R_r_y;cont_R_r_z;cont_R_r_w;
2020-02-21 09:40:49.095;-0.04949;1.39692;0.01763;-0.01504;-0.01122;-0.00354;0.99982;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42791;0.93986;0.29147;-0.13203;0.24605;0.01771;0.96006;
2020-02-21 09:40:49.119;-0.04954;1.39703;0.01754;-0.01525;-0.01095;-0.00353;0.99982;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42799;0.94004;0.29140;-0.13195;0.24611;0.01772;0.96006;
2020-02-21 09:40:49.132;-0.04964;1.39724;0.01736;-0.01576;-0.01077;-0.00301;0.99981;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42808;0.94041;0.29121;-0.13207;0.24604;0.01764;0.96006;
2020-02-21 09:40:49.143;-0.04974;1.39748;0.01720;-0.01624;-0.01066;-0.00268;0.99981;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42808;0.94043;0.29114;-0.13204;0.24609;0.01764;0.96005;
2020-02-21 09:40:49.155;-0.04972;1.39754;0.01701;-0.01597;-0.01054;-0.00310;0.99981;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42806;0.94046;0.29112;-0.13212;0.24613;0.01757;0.96003;
2020-02-21 09:40:49.166;-0.04976;1.39750;0.01687;-0.01597;-0.01067;-0.00365;0.99981;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42803;0.94036;0.29112;-0.13210;0.24608;0.01752;0.96005;
2020-02-21 09:40:49.178;-0.04981;1.39748;0.01661;-0.01586;-0.01095;-0.00395;0.99981;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42809;0.94048;0.29101;-0.13214;0.24617;0.01745;0.96002;
2020-02-21 09:40:49.190;-0.04990;1.39749;0.01644;-0.01603;-0.01149;-0.00429;0.99980;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42805;0.94050;0.29100;-0.13220;0.24613;0.01739;0.96002;
2020-02-21 09:40:49.210;-0.05004;1.39757;0.01633;-0.01643;-0.01196;-0.00461;0.99978;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42808;0.94055;0.29108;-0.13215;0.24622;0.01739;0.96001;
2020-02-21 09:40:49.233;-0.05019;1.39754;0.01639;-0.01652;-0.01246;-0.00542;0.99977;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42797;0.94017;0.29131;-0.13211;0.24613;0.01731;0.96003;
2020-02-21 09:40:49.257;-0.05002;1.39742;0.01615;-0.01619;-0.01287;-0.00630;0.99977;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42792;0.93989;0.29148;-0.13212;0.24611;0.01721;0.96004;
2020-02-21 09:40:49.277;-0.05024;1.39693;0.01624;-0.01614;-0.01335;-0.00669;0.99976;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42797;0.93974;0.29156;-0.13205;0.24607;0.01717;0.96006;
2020-02-21 09:40:49.299;-0.05004;1.39690;0.01624;-0.01563;-0.01352;-0.00680;0.99976;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42786;0.93954;0.29168;-0.13193;0.24598;0.01732;0.96010;
2020-02-21 09:40:49.321;-0.04989;1.39679;0.01628;-0.01516;-0.01327;-0.00750;0.99977;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42786;0.93955;0.29169;-0.13194;0.24612;0.01740;0.96006;
2020-02-21 09:40:49.343;-0.04999;1.39640;0.01654;-0.01452;-0.01396;-0.00794;0.99977;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.42790;0.93964;0.29169;-0.13188;0.24603;0.01730;0.96009;
