time;t_idx;a_e_0_Color;a_t_0_Color;a_e_1_Move;a_t_1_Move;a_e_2_Opacity;a_t_2_Opacity;a_e_3_Rotation;a_t_3_Rotation;a_e_4_Shape;a_t_4_Shape;a_e_5_Size;a_t_5_Size;a_e_6_Outline;a_t_6_Outline;
2020-02-21 09:32:04.265;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.288;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.302;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.314;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.326;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.338;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.349;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.361;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.374;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.398;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.419;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.442;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.464;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.486;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.509;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.530;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.552;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.575;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.597;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.619;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.641;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.664;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.685;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.707;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.730;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.753;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.775;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.796;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.820;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.842;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.863;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.876;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.887;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.899;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.910;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.922;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.933;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.946;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.958;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.970;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.982;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:04.997;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:05.013;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:05.026;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:05.041;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:05.054;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
2020-02-21 09:32:05.066;0;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;1;0.00000;
